Level,Number,Description,Tags,Owner,Status,Estimate,Remaining,Wiki,Watchers,Related,Duplicate,Version 1
1,23,Determine static pages desired,Knowledge Acquisition,novoalg,Not Started,5,5,,,,,
1,24,Determine web host,Knowledge Acquisition,novoalg,Not Started,5,5,,,,,
1,14,"Implement static view pages (About, Contact Us, etc)",Feature,novoalg,Not Started,35,35,,,,,
2,42,Make application.html.erb,,novoalg,Not Started,10,10,,,,,
2,25,Make homepage,,delebota,Not Started,8,8,,,,,
2,26,Make contact us page,,delebota,Not Started,8,8,,,,,
2,27,Make about us page,,delebota,Not Started,8,8,,,,,
2,28,Vectorize company logo ,,novoalg,Not Started,1,1,,,,,
1,15,Implement User Structure,Feature,alephtwo,Not Started,22,22,,,,,
2,29,rails g model User,,alephtwo,Not Started,9,9,,,,,
3,30,User db/migration,,alephtwo,Not Started,9,9,,,,,
2,31,rails g controller Users,,alephtwo,Not Started,13,13,,,,,
3,41,Add users resource to routes.rb,,alephtwo,Not Started,1,1,,,,,
3,38,Add new user page,,alephtwo,Not Started,4,4,,,,,
3,39,Add delete user route,,alephtwo,Not Started,4,4,,,,,
3,40,Add edit user page,,alephtwo,Not Started,4,4,,,,,
1,16,Implement Sessions,Feature,novoalg,Not Started,27,27,,,,,
2,33,rails g controller Sessions,,novoalg,Not Started,27,27,,,,,
3,34,Add has_secure_password to user model (and migration),,novoalg,Not Started,4,4,,,,,
3,35,Make new session (login) page,,kubicect,Not Started,15,15,,,,,
3,36,Make delete session (logout) page,,kubicect,Not Started,4,4,,,,,
3,37,Make create session method (and route),,kubicect,Not Started,4,4,,,,,
